tag,H,GS,ED
v3_00200000_top-p_0.9_0.95_stride_2048,2.7817,0.6207,57.5690
v3_00200000_top-p_1.1_0.85_stride_2048,2.3777,0.8395,26.1966
v3_00200000_top-p_1.0_0.85_stride_2048,2.3110,0.8172,18.8684
v3_00200000_top-p_1.05_0.9_stride_2048,2.4909,0.7802,18.2312
v3_00200000_top-p_1.0_0.9_stride_2048,2.4411,0.7968,17.3948
v3_00200000_top-p_0.95_0.95_stride_2048,2.4305,0.8044,16.6427
v3_00200000_top-p_1.1_0.9_stride_2048,2.4198,0.7975,10.8332
v3_00200000_top-p_1.05_0.95_stride_2048,2.4566,0.7778,10.6171
v3_00200000_top-p_1.05_0.85_stride_2048,2.3878,0.8398,9.6185
v3_00200000_top-p_0.95_0.85_stride_2048,2.4079,0.7827,9.5352
v3_00200000_top-p_0.95_0.9_stride_2048,2.3332,0.8079,7.1084
v3_00200000_top-p_1.0_0.95_stride_2048,2.3917,0.7535,6.4605
v3_00200000_top-p_1.1_0.95_stride_2048,2.4796,0.8245,5.4523
dataset_cache_bd_4,2.5207,0.7789,0.0000
